,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
13317,P2020-08353-01,18200427,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13318,P2020-08353-01,14100680,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13319,P2020-08353-01,06163361,개발자,CCRM,R2020-08353,6145272,2020-07-07,2020-08-11,35 days 00:00:00.000000000
13320,P2020-08356-01,06220495,PM,고객,R2020-08356,17100097,2020-07-07,2020-08-03,27 days 00:00:00.000000000
13321,P2020-08356-01,18200230,개발자,고객,R2020-08356,17100097,2020-07-07,2020-08-03,27 days 00:00:00.000000000
13322,P2020-08356-01,16200100,개발자,고객,R2020-08356,17100097,2020-07-07,2020-08-03,27 days 00:00:00.000000000
13323,P2020-08358-01,15100464,PM,기업상담신청,R2020-08358,6167720,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13324,P2020-08358-01,10100806,개발자,기업상담신청,R2020-08358,6167720,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13325,P2020-08358-01,06178715,개발자,기업상담신청,R2020-08358,6167720,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13326,P2020-08358-01,06154001,개발자,기업상담신청,R2020-08358,6167720,2020-07-07,2020-07-24,17 days 00:00:00.000000000
13327,P2020-0836-01,15051004,PM,ALM,R2020-0836,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13328,P2020-0836-01,08051001,개발자,ALM,R2020-0836,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13329,P2020-0836-01,19061020,개발자,ALM,R2020-0836,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13330,P2020-08360-01,11101849,PM,국내무역외,R2020-08360,11200413,2020-07-07,2020-10-19,104 days 00:00:00.000000000
13331,P2020-08362-01,16507916,PM,수탁업무,R2020-08362,16507916,2020-07-08,2020-08-28,51 days 00:00:00.000000000
13332,P2020-08363-01,19506945,PM,SBJ은행,R2020-08363,19506945,2020-07-08,2020-07-22,14 days 00:00:00.000000000
